timestamp_sec,model_name,ns3_node_id,robot_x,robot_y,robot_z,distance_to_base,rssi_dbm,snr_db,packets_sent,packets_received,packets_lost,packet_loss_rate
30.8954,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8963,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8964,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8964,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8964,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8973,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8974,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8974,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8974,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8984,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8984,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8984,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8984,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8994,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8994,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8994,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8994,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9004,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9004,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9004,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9004,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9014,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9014,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9014,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9014,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9024,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9024,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9024,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9024,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9034,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9034,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9034,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9034,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9044,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9044,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9044,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9044,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9054,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9054,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9054,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9054,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9065,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9065,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9065,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9065,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9075,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9075,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9075,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9075,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9084,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9085,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
